Name;Formula;Family;Molar mass;Head Family;Head;Cyclic Head (Y/N);Sugar number in head;Carbon number;Saturated;Total  Number of Ramified Carbons;Multichain;JunTyp;Jun Direction;CMC (mM);Surface tension (CMC);Amin;Efficiency C20;Nagg
(1-Buty)lhexyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;4;N;Ether;0;15;25,1;55,0;;
(1-Ethyl)octyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;2;N;Ether;0;8,5;27,0;53,0;;
(1-Methyl)nonyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;1;N;Ether;0;4,5;28,0;51;;
(1-Propyl)heptyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;3;N;Ether;0;12;26,0;54,0;;
2’-(E)-7’-octadienyl-alpha-D-Xyloside;C13H22O5;Alkylglycosides;258,31;Xylose;Xylose;Y;1;8;N;0;N;Ether;0;1,94;31;43,0;;
2’-(E)-7’-octadienyl-alpha-L-Arabinoside;C13H22O5;Alkylglycosides;258,31;Arabinose;Arabinose;Y;1;8;N;0;N;Ether;0;0,70;34;57,5;;
3,7-Dimethyloctyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;2;N;Ether;0;4;27,7;38,0;;
3,7-Dimethyloctyl-beta-D-Maltoside;C22H42O11;Alkylpolyglycosides;482,56;Maltose;Maltose;Y;2;10;Y;2;N;Ether;0;5,3;33,7;47,0;;
3,7-Dimethyloctyl-beta-D-Maltotrioside;C28H52O16;Alkylpolyglycosides;644,7;Maltotriose;Maltotriose;Y;3;10;Y;2;N;Ether;0;5;39,6;52,0;;
Decyl-alpha-D-GIucofuranoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;0;N;Ether;0;0,85;28,0;39;;
Decyl-alpha-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;0;N;Ether;0;0,35;28,2;49;;
Decyl-alpha-D-Mannoside;C16H32O6;Alkylglycosides;320,42;Mannose;Mannose;Y;1;10;Y;0;N;Ether;0;0,25;28,5;53;;
Decyl-beta-D-Galactoside;C16H32O6;Alkylglycosides;320,42;Galactose;Galactose;Y;1;10;Y;0;N;Ether;0;0,70;28;53;;
Decyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;0;N;Ether;0;0,80;27,8;49;;
Decyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;0;N;Ether;0;2,2;28,3;47;;
Decyl-beta-D-Glucoside;C16H32O6;Alkylglycosides;320,42;Glucose;Glucose;Y;1;10;Y;0;N;Ether;0;0,80;27,8;49;;
Decyl-beta-D-Maltoside;C22H42O11;Alkylpolyglycosides;482,56;Maltose;Maltose;Y;2;10;Y;0;N;Ether;0;2,1;37,3;47,4;;
Dodecyl-alpha-D-Glucoside;C18H36O6;Alkylglycosides;348,47;Glucose;Glucose;Y;1;12;Y;0;N;Ether;0;2,3;36,9;43;0,1;
Dodecyl-alpha-D-Mannoside;C18H36O6;Alkylglycosides;348,47;Mannose;Mannose;Y;1;12;Y;0;N;Ether;0;0,05;28,4;54;;
Dodecyl-beta-D-Galactoside;C18H36O6;Alkylglycosides;348,47;Galactose;Galactose;Y;1;12;Y;0;N;Ether;0;0,20;;51;;
Dodecyl-beta-D-Glucoside;C18H36O6;Alkylglycosides;348,47;Glucose;Glucose;Y;1;12;Y;0;N;Ether;0;0,19;39,8;36;;
Dodecyl-beta-D-Glucoside;C18H36O6;Alkylglycosides;348,47;Glucose;Glucose;Y;1;12;Y;0;N;Ether;0;0,15;27,3;51;;
Dodecyl-beta-D-Maltoside;C24H46O11;Alkylglycosides;510,62;Maltose;Maltose;Y;2;12;Y;0;N;Ether;0;0,17;35,3;46,7;;
Dodecyl-beta-D-Maltoside;C24H46O11;Alkylglycosides;510,62;Maltose;Maltose;Y;2;12;Y;0;N;Ether;0;0,15;36,25;49,9;;
Nonyl-beta-D-Glucoside;C15H30O6;Alkylglycosides;306,4;Glucose;Glucose;Y;1;9;Y;0;N;Ether;0;6,92;30,4;45,6;;
Octyl-alpha-D-GIucofuranoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;7,5;25,5;51,0;;
Octyl-alpha-D-Glucoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;12;30,5;47;;
Octyl-alpha-D-Glucoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;10;36,4;53;2,5;
Octyl-alpha-D-Mannoside;C14H28O6;Alkylglycosides;292,37;Mannose;Mannose;Y;1;8;Y;0;N;Ether;0;6,0;30,5;48;;
Octyl-beta-D-Galactoside;C14H28O6;Alkylglycosides;292,37;Galactose;Galactose;Y;1;8;Y;0;N;Ether;0;16;30,5;48;;
Octyl-beta-D-GIucofuranoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;9,4;30,2;44,0;;
Octyl-beta-D-Glucoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;25;31,2;42;;
Octyl-beta-D-Glucoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;22;30,8;38;;
Octyl-beta-D-Glucoside;C14H28O6;Alkylglycosides;292,37;Glucose;Glucose;Y;1;8;Y;0;N;Ether;0;20;30,5;48;;
Oleyl-beta-D-Maltoside;C30H56O11;Alkylpolyglycosides;592,76;Maltose;Maltose;Y;2;18;N;0;N;Ether;0;0,02;37,8;47;;
Oleyl-beta-D-Maltotrioside;C36H66O16;Alkylpolyglycosides;754,9;Maltotriose;Maltotriose;Y;3;18;N;0;N;Ether;0;0,042;42,5;128;;
Tetradecyl-alpha-D-Glucoside;C20H40O6;Alkylglycosides;376,53;Glucose;Glucose;Y;1;14;Y;0;N;Ether;0;0,8;48,8;43;0,6;
